         CMP          Time(ms)    Velocity(m/s) 
             
         60               95      1819 
         60              370      1973 
         60             1953      2292 
         60             1365      2585 
         60             1870      2906 
         60             2390      3186 
         60             3900      3799 
         60             5008      4213 
                             
         80              103      1773 
         80              396      2039 
         80              678      2165 
         80              957      2269 
         80             1217      2453 
         80             1603      2692 
         80             2109      3126 
         80             2783      3513 
         80             5040      4779 
                                       
                                       
        100              118      1759 
        100              384      1999 
        100              688      2093 
        100             1050      2278 
        100             2020      3006 
        100             3137      3713 
        100             5385      4379 
                                      
        120              123      1685 
        120              396      1992 
        120              603      2113 
        120             1377      2992 
        120             1969      3386 
        120             2843      3738 
        120             4312      4219 
        120             5759      4712 
                                        
        140              101      1679 
        140              379      2005 
        140              690      2633 
        140              843      2993 
        140             1048      3285 
        140             1348      3652 
        140             2279      3932 
        140             3744      4406 
        140             5138      4899 
                                         
        160              94       1745 
        160              405      2086 
        160              511      2273 
        160              745      2846 
        160             1004      3173 
        160             1397      3646 
        160             2235      4098 
        160             4205      4792 
        160             5710      5179 
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
                   
